ID;RFERR;ARCH1;ARCH2;QSURF;QPERC;ESOIL;QINTF;Q_TDH;SNOWM;INTRC
120;multiplc_e;onestate_1;fixedsiz_2;prms_varnt;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
126;multiplc_e;onestate_1;tens2pll_2;tmdl_param;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
132;multiplc_e;onestate_1;unlimfrc_2;tmdl_param;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
138;multiplc_e;onestate_1;unlimpow_2;tmdl_param;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
144;multiplc_e;onestate_1;fixedsiz_2;tmdl_param;perc_w2sat;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
146;multiplc_e;tension1_1;tens2pll_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
150;multiplc_e;onestate_1;tens2pll_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
152;multiplc_e;tension1_1;unlimfrc_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
154;multiplc_e;tension2_1;unlimfrc_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
156;multiplc_e;onestate_1;unlimfrc_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
158;multiplc_e;tension1_1;unlimpow_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
160;multiplc_e;tension2_1;unlimpow_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
162;multiplc_e;onestate_1;unlimpow_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
164;multiplc_e;tension1_1;fixedsiz_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
166;multiplc_e;tension2_1;fixedsiz_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
168;multiplc_e;onestate_1;fixedsiz_2;arno_x_vic;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
170;multiplc_e;tension1_1;tens2pll_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
174;multiplc_e;onestate_1;tens2pll_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
176;multiplc_e;tension1_1;unlimfrc_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
178;multiplc_e;tension2_1;unlimfrc_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
180;multiplc_e;onestate_1;unlimfrc_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
182;multiplc_e;tension1_1;unlimpow_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
184;multiplc_e;tension2_1;unlimpow_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
186;multiplc_e;onestate_1;unlimpow_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
188;multiplc_e;tension1_1;fixedsiz_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
